,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20160316,Bolívar,5067,Media,Alta,"75º09'33.7""W",0.0504246242,0.5064621349,-0.3330264935,0.7254257021,-0.0649963887,0.1566903068,0.596709028,0.5145461947,-1.2097655882,-0.7625011513,-0.4101999874,-0.5117304642,-0.9981464303,-1.1222561078,0.3791141795,-0.0439934414,-1.0961088122,-0.3932445302,-0.0973919179,-0.483416769,-0.9221751105,-0.1311773848,-1.2459075831,-2.4257243094,-1.925773772,-1.3944632924,-1.4412673288,-0.8752088087,-0.8790510491
20160317,Bolívar,5067,Media,Alta,"75º09'33.7""W",0.1534528103,-0.0565519812,-0.2282791987,0.7089420863,-0.2337438146,0.1998142318,0.6184646984,0.5688479963,-1.1855941202,-0.5538225559,-0.4025518631,-0.4975130789,-0.9981464303,-1.1985564589,0.3089404117,-0.2194240982,-1.0475969698,-0.3222466299,-0.1525056062,-0.487547534,-1.0294507378,-0.2841782495,-1.3111360212,-2.4215131865,-2.0524128824,-1.5305146067,-1.428637108,-0.9835954136,-1.2144489748
20160214,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.463468581,0.2096698555,-0.5146466687,0.0700455078,0.4531441164,-0.7645037467,-0.0596063889,0.2684779263,-1.0559153754,-0.499460905,0.1911048153,-0.4942293216,-0.9981464303,-1.175262983,0.4601850688,0.0149505513,-1.019039163,-0.4663726123,-0.5648568091,-0.9138858449,-0.61782588,-1.0025768644,-0.645849751,-0.1079904417,-0.0916149678,0.1188646796,-0.2164438268,-0.4546584316,-0.1306232997
20160215,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.3291102972,0.1260322325,-0.292208507,0.1552104471,0.4479776829,-0.6746899592,0.1279196371,0.4541721558,-1.054716874,-0.4687474618,0.1552338696,-0.4930711191,-0.9981464303,-1.1956641985,0.232147685,0.0667683653,-1.0198513188,-0.4224220195,-0.4496919539,-0.7478200966,-0.4777710817,-0.7639117246,-0.7215417712,-0.2311257372,-0.187669935,0.0713194204,-0.3249763851,-0.3697140452,-0.021905587
20160216,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.201305483,-0.0114790696,-0.340337387,-0.0450211611,0.4250643255,-0.676315817,0.0639993585,-0.0955604903,-1.0603734904,-0.4326832425,0.1598652472,-0.4917085185,-0.9981464303,-1.2412597265,0.3125442325,0.015022302,-1.0211495683,-0.4295350102,-0.3592499706,-0.5864139398,-0.5740532454,-0.6118881221,-0.9245191451,-0.3205563098,-0.5050720897,-0.2523848913,-0.5247988664,-0.4240183263,-0.0978844619
20160224,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.4315486893,0.1609163114,-0.4569614866,-0.227758068,0.2973860372,-0.7965035716,0.3024051749,0.1674246466,-1.0443673675,-0.4906928968,-0.0884457158,-0.4720285634,-0.9981464303,-1.2929281934,0.3083031749,-0.1980893256,-0.9973902199,-0.5062079024,-0.2574037761,-0.6411172425,-0.3276444275,-0.631691316,-0.9466577646,0.004275653,-0.1924663878,-0.0869533883,-0.7681365234,-0.6820792137,-0.1976848669
20160225,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.4944403497,-0.1921458387,-0.400826851,-0.0051177835,0.3559779533,-0.8668022681,0.0819260301,0.3113725505,-1.0544301874,-0.6520736451,0.1050356709,-0.4756931162,-0.9981464303,-1.2415223974,0.2081200081,-0.1599366736,-1.0105917762,-0.4923971808,-0.4755818081,-0.928587107,-0.6490719566,-0.5106647255,-1.1556916877,-0.1363709293,0.1345940503,3.63436652316432E-05,-0.4388326376,-0.3566698136,-0.0266228178
20160226,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.7416389736,0.4720810322,0.3135152391,0.4207900405,0.2078000836,-0.7246450584,0.6352890203,1.5941576083,-1.0331206199,-0.521527059,-0.0638616314,-0.487701271,-0.9981464303,-1.1662624827,-1.0266030973,-0.1154421303,-0.9444637905,-0.3537015018,-0.2769828512,-0.9703883062,-0.8156206638,-1.5087938396,-0.9600969537,-0.2789435114,-0.470813446,0.0041036976,-0.3409099392,-0.2974891624,0.091272241
20160227,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.1991680282,-0.1374459115,-0.3220430507,0.4679116093,-0.0340060468,-1.2622413732,0.5509181629,3.0781291697,-0.9941899919,-0.293543887,0.0747524095,-0.4384127551,-0.9981464303,-1.3176612758,0.1452171671,-0.5539652481,-0.904154899,-0.4850649482,-0.6108602872,-1.0974733408,-0.6214461994,-0.5322143001,-1.0519774338,-0.5589426785,-0.3627679751,0.0795511699,-0.3560563754,-0.323068986,-0.1160681909
20160305,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.4298986168,0.5725039833,0.2963366847,0.6731658798,0.3884320381,-0.9397018313,0.3761942266,0.8373466486,-1.0418426256,-0.3942448065,0.352642471,-0.4738013201,-0.9981464303,-1.2396034305,-0.8086637071,-0.1277390272,-1.009499734,-0.4651677068,-0.1173422161,-1.0353265421,-0.9855923473,-1.2250415438,-1.8215915401,-0.4988760493,-0.4526985509,-0.268809496,-0.4564534308,-0.3062726178,-0.1167520086
20160306,Bolívar,5070,Media,Baja,"75º10'11.5""W",-0.7345845803,-0.2167620782,-0.3292813718,0.2162364739,0.0879743915,-0.5203663868,0.2140403638,1.7690470478,-0.9979805561,-0.279609362,0.1551652529,-0.4536467924,-0.9981464303,-1.2962089205,-0.0701360568,-0.4256648591,-0.9153074496,-0.3704369161,-0.5238724169,-0.9763197047,-0.895265064,-1.3245712885,-1.7191076712,-0.5509998557,-0.4379184738,-0.4724260775,-0.4047841551,-0.2424044556,0.1832270091
